                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0406,                 4.7209,                 1.8971,                 0.2129,                0.15294,                0.08465,                0.04066,                 2.9929,                 3.3818,                  3.428,             0.00065556,             0.00065556,             0.00065556
                      2,                 2.0538,                 2.4016,                 1.9808,                 0.0007,                0.18824,                0.00046,                0.00018,                  3.656,                    inf,                 11.433,              0.0013091,              0.0013091,              0.0013091
                      3,                 2.1096,                 2.3941,                 2.0056,                0.00493,                0.17059,                0.00194,                0.00067,                 2.7348,                 48.537,                 4.7508,              0.0019495,              0.0019495,              0.0019495
                      4,                 2.0629,                 2.3202,                 2.0352,                0.28972,                    0.1,                0.07843,                0.03644,                 2.6652,                 5.9695,                 2.8496,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.0814,                 2.1893,                 2.0355,                 0.0068,                0.07059,                0.00412,                0.00164,                 2.5975,                 21.536,                 2.6094,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.981,                 2.1508,                 1.9289,                 0.0702,                0.15294,                0.02235,                0.00954,                 2.5622,                 4.5265,                 2.7449,               0.001901,               0.001901,               0.001901
                      7,                 1.9189,                 1.9852,                  1.833,                0.65748,                0.24706,                0.28381,                0.12418,                 2.3883,                 3.2774,                 2.6572,              0.0018812,              0.0018812,              0.0018812
                      8,                  1.898,                 1.8625,                 1.8615,                0.51072,                0.10588,                0.12326,                0.06074,                 2.8862,                 4.1582,                 3.0948,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.9124,                 1.7972,                 1.8711,                0.50929,                0.28824,                0.31468,                0.13499,                 2.1982,                 2.7793,                 2.3793,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.8257,                 1.7834,                  1.857,                0.28675,                0.25882,                0.24567,                0.09192,                 2.4397,                 2.9109,                 2.5564,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.8031,                  1.743,                 1.7814,                0.70546,                0.25294,                0.28624,                0.14173,                 2.2339,                 2.8513,                 2.4986,               0.001802,               0.001802,               0.001802
                     12,                 1.8089,                 1.6575,                 1.7964,                0.71603,                0.35882,                0.40495,                0.14426,                  2.404,                  2.264,                   2.48,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.7994,                 1.6871,                 1.8022,                0.25419,                0.28824,                0.21091,                0.09817,                 2.2768,                 2.9354,                  2.374,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.7505,                 1.5003,                 1.7411,                0.60901,                0.31765,                0.36024,                0.17621,                 2.1583,                 2.6502,                 2.2881,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.7954,                 1.6134,                 1.7634,                0.68551,                0.25294,                0.31296,                0.15044,                 2.3106,                 3.1351,                 2.4295,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.7215,                 1.4727,                 1.6808,                0.50135,                0.38444,                0.41882,                0.18573,                 2.2701,                 2.4994,                 2.4016,               0.001703,               0.001703,               0.001703
                     17,                   1.73,                 1.4201,                  1.709,                0.44364,                0.40341,                0.36559,                0.13795,                 2.2536,                 2.4385,                 2.4028,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.7064,                 1.4312,                  1.694,                0.63422,                0.40588,                0.48039,                0.20123,                 2.1603,                 2.1414,                  2.293,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6603,                 1.3853,                 1.6604,                0.56507,                 0.4127,                 0.4626,                0.19912,                 2.1331,                 2.0971,                 2.3038,              0.0016436,              0.0016436,              0.0016436
