                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     20,                 1.6492,                 1.3745,                 1.6872,                0.77349,                0.34118,                0.40311,                0.20017,                 2.3176,                 2.8111,                 2.5282,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.6646,                 1.3852,                 1.6803,                0.63062,                0.41175,                0.46868,                0.20369,                 2.2757,                 1.9432,                 2.4752,               0.001604,               0.001604,               0.001604
                     22,                 1.6568,                 1.3093,                 1.6378,                 0.4257,                0.26471,                0.28814,                0.13965,                  2.391,                 2.8168,                 2.4204,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.6194,                 1.3122,                 1.6315,                 0.5556,                0.24706,                0.31122,                0.14532,                  2.399,                 2.5866,                 2.4933,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.6672,                 1.3442,                 1.6794,                0.63151,                0.28235,                0.39269,                0.17049,                 2.1309,                 2.2673,                 2.3005,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.6705,                 1.3739,                 1.6721,                0.81244,                0.33126,                0.41709,                 0.1923,                 2.2142,                 2.5971,                 2.3096,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.6419,                  1.258,                 1.6541,                0.61018,                0.36832,                0.39975,                0.19151,                 2.1344,                 2.6312,                 2.2972,               0.001505,               0.001505,               0.001505
                     27,                 1.6163,                 1.3247,                 1.6597,                 0.6552,                0.41176,                0.46324,                0.19832,                  2.179,                 2.2363,                 2.2999,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.6081,                 1.1873,                 1.6206,                 0.7074,                0.45882,                0.54235,                0.25432,                 2.2224,                 1.8695,                 2.4987,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.6405,                 1.2022,                 1.6286,                0.59478,                0.30221,                0.38032,                0.17059,                 2.2459,                 2.2743,                 2.3311,              0.0014456,              0.0014456,              0.0014456
                     30,                   1.53,                 1.2182,                 1.5833,                0.63266,                0.38824,                0.39949,                0.16416,                 2.2381,                 2.5026,                 2.3055,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.5646,                 1.1765,                 1.6084,                0.71929,                0.36471,                0.49698,                0.23517,                  2.103,                 2.2891,                 2.2521,               0.001406,               0.001406,               0.001406
                     32,                   1.54,                 1.1965,                 1.5606,                0.80262,                0.32941,                0.40638,                0.18398,                 2.1931,                  2.519,                 2.3602,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.5734,                 1.1812,                 1.5786,                0.72047,                 0.3942,                0.50394,                0.23183,                 2.0641,                 2.2148,                 2.1627,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.5423,                 1.1445,                   1.56,                0.58995,                0.41176,                0.47954,                0.20332,                 2.1411,                 1.9117,                 2.2984,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.5809,                 1.1302,                 1.5966,                0.64435,                0.28776,                0.36035,                0.17802,                  2.228,                 2.6842,                 2.3434,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.5632,                 1.1848,                 1.5695,                0.75126,                0.25294,                0.30791,                0.13307,                 2.4425,                 2.9612,                  2.552,               0.001307,               0.001307,               0.001307
                     37,                 1.5258,                 1.1623,                 1.5639,                0.42859,                0.37647,                0.38844,                0.18484,                 2.2041,                  2.309,                 2.3861,              0.0012872,              0.0012872,              0.0012872
                     38,                  1.532,                 1.1982,                 1.5634,                0.58861,                0.42082,                0.49096,                0.22291,                 2.1595,                 2.1757,                 2.3407,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.5609,                 1.1186,                 1.5809,                0.70981,                0.37647,                0.48493,                0.22775,                 2.1969,                  2.019,                 2.3131,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.5166,                 1.0871,                 1.5686,                0.73024,                0.42994,                0.51904,                0.23051,                 2.2285,                 2.0695,                 2.4048,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.5077,                 1.0516,                 1.5373,                0.65143,                0.46174,                 0.5505,                0.23471,                 2.2098,                 2.1642,                 2.3485,               0.001208,               0.001208,               0.001208
                     42,                 1.4713,                  1.085,                 1.5013,                0.79845,                0.46607,                0.52116,                0.20897,                 2.2215,                 2.1633,                 2.3985,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.5066,                 1.0798,                 1.5507,                0.76597,                0.29412,                 0.4104,                0.16725,                 2.4026,                  2.264,                  2.668,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.4933,                 1.0348,                 1.5358,                0.67365,                0.42353,                0.49764,                0.20392,                 2.2697,                  1.862,                 2.3603,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.4878,                 1.0215,                 1.5249,                0.67377,                0.41176,                0.48859,                0.23555,                 2.2784,                 2.3241,                 2.4847,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.4376,                0.98792,                 1.4825,                 0.6278,                0.46634,                0.49688,                  0.212,                 2.2327,                 2.1183,                 2.4674,               0.001109,               0.001109,               0.001109
                     47,                  1.499,                0.98978,                 1.5522,                0.69346,                0.38592,                 0.4657,                0.20612,                 2.2985,                 2.6664,                 2.5353,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.4818,                 1.0457,                 1.5335,                0.68886,                    0.4,                0.45167,                0.19384,                 2.4072,                 2.3985,                 2.6348,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.4548,                 1.0216,                 1.5067,                0.73994,                0.38824,                0.44467,                0.19683,                 2.2112,                 2.2722,                 2.3859,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.4225,                 1.0002,                  1.483,                 0.5508,                0.43529,                0.41036,                0.19445,                 2.3099,                  2.464,                 2.4864,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.4811,                0.96193,                 1.5157,                0.72981,                0.41176,                0.45728,                0.19838,                 2.3476,                 2.4437,                 2.5868,                0.00101,                0.00101,                0.00101
                     52,                 1.4557,                 0.9488,                 1.4949,                0.56293,                0.41176,                0.41127,                0.17894,                 2.2493,                 2.0307,                 2.4869,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.4633,                 1.0211,                 1.5004,                0.51095,                0.45294,                0.45868,                0.18579,                 2.2187,                 1.8749,                 2.4839,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.3888,                0.95019,                 1.4833,                0.74123,                0.42941,                0.47653,                0.20218,                 2.2903,                 2.3336,                 2.5367,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.4452,                 0.9125,                 1.4928,                0.71199,                0.36471,                0.47683,                0.19741,                 2.4687,                 2.7843,                 2.6863,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.4034,                0.91102,                 1.4543,                0.59111,                 0.4422,                0.47991,                0.23516,                 2.2188,                 2.1625,                 2.4042,               0.000911,               0.000911,               0.000911
                     57,                 1.4433,                0.92007,                 1.4974,                0.73951,                0.44118,                0.50582,                0.23709,                 2.2363,                 2.6128,                 2.3853,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.4387,                0.93868,                 1.4949,                0.62003,                0.39412,                0.44008,                0.18899,                 2.4788,                 2.4279,                 2.6469,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.3976,                0.92064,                 1.4638,                0.70346,                0.45882,                0.49417,                0.23483,                  2.224,                  2.349,                 2.3987,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.3982,                0.86577,                 1.4758,                0.80039,                0.38824,                0.51036,                0.23563,                 2.2711,                 2.1324,                 2.4744,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.4275,                 0.9648,                 1.4971,                0.59409,                0.50796,                0.54751,                  0.237,                 2.2243,                 1.9711,                 2.4588,               0.000812,               0.000812,               0.000812
                     62,                 1.3953,                0.88397,                 1.4537,                0.72554,                0.49761,                0.52187,                0.24332,                 2.2374,                  2.486,                 2.4439,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.3695,                0.83705,                 1.4427,                0.74034,                0.47647,                0.55143,                0.24342,                 2.2124,                 2.1382,                 2.4051,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.3708,                0.88181,                 1.4322,                 0.7131,                0.45882,                0.55139,                 0.2555,                 2.3055,                 2.5428,                  2.483,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.3846,                0.85768,                 1.4478,                0.70841,                    0.5,                0.51167,                0.24858,                 1.9976,                 2.4833,                 2.2176,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.3985,                0.86318,                 1.4577,                0.59176,                0.48235,                0.50555,                0.22218,                 2.3162,                   2.04,                 2.5789,               0.000713,               0.000713,               0.000713
                     67,                   1.34,                0.85738,                 1.4344,                0.82672,                0.45882,                0.52668,                0.23511,                 2.3634,                 2.4033,                 2.5697,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.3004,                0.79662,                 1.3885,                0.58888,                0.42941,                0.46398,                0.21562,                 2.3473,                 2.4663,                 2.5968,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.3763,                 0.8449,                  1.449,                0.65166,                0.44706,                0.45797,                0.20017,                 2.4031,                 2.4929,                 2.6128,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.3531,                0.84994,                  1.429,                0.68173,                0.41176,                0.49231,                0.20946,                 2.3965,                 2.4551,                 2.5795,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2829,                0.79453,                 1.3858,                0.75407,                0.45882,                0.51925,                0.23677,                 2.2606,                 2.0154,                 2.5052,               0.000614,               0.000614,               0.000614
                     72,                 1.3077,                0.77953,                 1.4056,                0.80485,                0.41176,                0.53098,                0.23893,                 2.2535,                 1.9501,                  2.515,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.3569,                0.81642,                 1.4317,                0.64654,                0.48235,                 0.5057,                 0.2206,                 2.2691,                 1.8743,                 2.5271,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.2886,                0.77513,                 1.3711,                0.63211,                0.43529,                0.50101,                0.23441,                 2.3433,                  2.154,                  2.627,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.2812,                0.79687,                 1.3899,                0.64553,                0.43529,                0.44689,                0.20612,                 2.2808,                 2.4234,                 2.5605,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.2933,                0.89314,                  1.397,                0.71723,                0.31176,                0.41153,                0.17106,                 2.3754,                 2.5404,                 2.6494,               0.000515,               0.000515,               0.000515
                     77,                 1.2758,                0.77864,                 1.4018,                0.67661,                0.43529,                 0.4753,                0.21634,                 2.2935,                 2.3535,                  2.584,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.2826,                0.74691,                 1.3903,                0.75931,                0.48249,                0.53815,                0.25212,                 2.2596,                 2.1654,                 2.5209,              0.0004754,              0.0004754,              0.0004754
                     79,                   1.26,                0.72338,                 1.3861,                0.75596,                0.50588,                0.56712,                0.24225,                 2.2734,                  1.948,                 2.6202,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2878,                0.74736,                 1.3922,                0.77994,                0.43782,                0.55697,                 0.2565,                 2.3211,                 2.4159,                 2.5798,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.2616,                0.74751,                 1.3576,                0.58219,                0.48824,                0.49505,                0.22919,                 2.3541,                 2.1563,                 2.6365,               0.000416,               0.000416,               0.000416
                     82,                 1.2701,                0.71824,                 1.3837,                0.75766,                0.44118,                0.52011,                0.23107,                 2.3282,                  2.287,                 2.6194,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.2178,                0.72322,                 1.3509,                0.78158,                0.43529,                 0.5319,                0.25353,                 2.3135,                 2.2414,                 2.6019,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.2171,                0.70568,                 1.3533,                0.80999,                0.45136,                0.52592,                0.25902,                 2.2458,                 2.3408,                 2.5042,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.2157,                0.72551,                 1.3493,                 0.7585,                0.48235,                0.56408,                0.26974,                 2.2084,                 2.1612,                  2.466,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2661,                0.72299,                 1.3539,                0.76675,                0.46409,                0.54032,                0.26251,                 2.2568,                 2.2852,                 2.5014,               0.000317,               0.000317,               0.000317
                     87,                 1.2132,                0.69914,                 1.3571,                0.80356,                0.44706,                0.52901,                0.25755,                 2.2365,                 2.2917,                 2.4591,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.2272,                 0.7069,                 1.3524,                0.76833,                0.47647,                0.53889,                0.26027,                 2.2193,                 2.2434,                 2.4696,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.1899,                 0.6982,                 1.3184,                0.69194,                0.47647,                0.54687,                 0.2613,                 2.2265,                 2.2329,                 2.5065,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.2101,                0.69619,                 1.3561,                0.76412,                0.49412,                 0.5603,                0.27064,                 2.2302,                 2.1495,                 2.5155,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.1847,                0.58833,                  1.361,                 0.7894,                0.47059,                0.54869,                0.25563,                 2.2479,                 2.0636,                 2.5336,               0.000218,               0.000218,               0.000218
                     92,                 1.2066,                0.58912,                 1.3684,                0.75579,                0.49156,                0.54996,                0.26386,                  2.232,                 2.1548,                 2.4655,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.1401,                0.54885,                 1.3249,                0.75702,                0.47059,                0.54955,                0.25999,                 2.2363,                 2.2131,                 2.4579,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.1326,                0.53166,                 1.3242,                0.72103,                0.50174,                0.57333,                0.26613,                 2.2838,                 1.9978,                 2.5704,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.1379,                0.52751,                 1.3325,                0.70778,                0.49866,                0.56879,                0.26915,                  2.286,                 2.0939,                 2.5604,              0.0001388,              0.0001388,              0.0001388
                     96,                  1.112,                0.53548,                  1.301,                0.73474,                0.50511,                0.58135,                0.27016,                 2.2668,                 2.0329,                 2.5412,               0.000119,               0.000119,               0.000119
                     97,                 1.1314,                0.54966,                 1.3093,                0.79212,                0.49312,                0.59696,                0.27895,                 2.2661,                  1.974,                 2.5494,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.0945,                0.51256,                 1.3004,                0.76427,                0.49412,                0.58166,                0.27314,                 2.3159,                  2.046,                  2.632,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                  1.121,                 0.5187,                 1.3198,                0.73029,                    0.5,                0.58735,                0.27664,                 2.3074,                 2.0806,                 2.6196,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.1059,                0.52137,                 1.3004,                0.70091,                0.51176,                0.58012,                0.27475,                 2.2844,                 2.0366,                 2.6021,               3.98e-05,               3.98e-05,               3.98e-05
